observed_rr,u_prevalence_exposed,u_prevalence_comparator,u_treatment_prevalence_or,u_outcome_rr,bias_factor,bias_adjusted_rr,moves_to_null,moves_to_clinically_unimportant
1.1589192944943714,0.3,0.2,1.7142857142857144,4.0,1.1874999999999998,0.9759320374689445,True,True
1.1589192944943714,0.3,0.3,1.0,1.1,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,1.25,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,1.5,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,1.75,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,2.0,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,2.5,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,3.0,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.3,1.0,4.0,1.0,1.1589192944943714,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,1.1,0.9903846153846154,1.170170938130239,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,1.25,0.9772727272727272,1.1858709059942405,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,1.5,0.9583333333333331,1.2093070899071703,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,1.75,0.9423076923076923,1.229873537014435,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,2.0,0.9285714285714285,1.2480669325324,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,2.5,0.9062499999999999,1.2788074973730996,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,3.0,0.8888888888888887,1.303784206306168,False,False
1.1589192944943714,0.3,0.4,0.6428571428571428,4.0,0.8636363636363635,1.3419065515197985,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,1.1,0.9809523809523809,1.1814225817661068,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,1.25,0.9555555555555555,1.2128225174941096,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,1.5,0.9199999999999999,1.259694885319969,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,1.75,0.890909090909091,1.3008277795344985,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,2.0,0.8666666666666666,1.3372145705704286,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,2.5,0.8285714285714285,1.3986957002518277,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,3.0,0.7999999999999999,1.4486491181179644,False,False
1.1589192944943714,0.3,0.5,0.4285714285714286,4.0,0.76,1.5248938085452255,False,False
1.1589192944943714,0.3,0.6,0.28571428571428575,1.1,0.9716981132075472,1.1926742254019744,False,False
